id,last_page,gender,age,main_mode,travel_time,priv_avail,carpool_avail,walk_avail,transit_avail,taxi_avail,moto_avail,no_second_mode,status,yr_stud,yr_emp,st_drive,st_drive_gen,st_pass,st_pass_gen,st_n_pass,st_n pass_gen,emp_drive,emp_drive_gen,emp_pass,emp_pass_gen,S1,S2,S3,S4,CHOICE1,CHOICE2,CHOICE3,CHOICE4
7,13,2,23,1,8,1,0,1,0,1,0,0,1,6,-1,3,3,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,2,2,2,2
8,13,1,22,1,10,1,0,1,0,0,0,0,1,6,-1,3,2,4,2,-1,-1,-1,-1,-1,-1,3,2,4,2,2,1,3,1
9,13,2,21,1,5,1,0,1,0,0,0,0,1,2,-1,3,3,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,2,2,2,2
10,13,2,22,1,60,1,1,0,0,0,0,0,1,5,-1,2,2,3,3,-1,-1,-1,-1,-1,-1,2,2,3,3,1,1,2,2
11,13,2,22,4,20,1,0,0,0,0,0,0,1,5,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,-1,2,3,-1,-1,1,2
12,13,2,22,1,5,1,1,1,1,0,0,0,1,5,-1,3,4,3,3,-1,-1,-1,-1,-1,-1,3,4,3,3,2,3,2,2
13,13,2,23,1,120,1,1,1,0,0,0,0,1,6,-1,1,3,1,3,-1,-1,-1,-1,-1,-1,1,3,1,3,1,2,1,2
14,13,2,23,1,10,1,0,0,0,0,0,1,1,5,-1,3,5,2,4,-1,-1,-1,-1,-1,-1,3,5,2,4,2,3,1,3
15,13,2,21,4,20,1,0,0,0,0,0,0,1,4,-1,-1,-1,-1,-1,4,3,-1,-1,-1,-1,-1,-1,4,3,-1,-1,3,2
16,13,1,22,1,8,1,0,0,1,0,0,0,1,5,-1,1,2,3,4,-1,-1,-1,-1,-1,-1,1,2,3,4,1,1,2,3
17,13,1,24,1,10,1,0,0,1,0,0,0,1,6,-1,1,4,1,4,-1,-1,-1,-1,-1,-1,1,4,1,4,1,3,1,3
18,13,2,24,1,8,1,0,0,0,0,0,1,1,6,-1,2,2,4,4,-1,-1,-1,-1,-1,-1,2,2,4,4,1,1,3,3
19,13,2,22,1,10,1,1,1,0,0,0,0,1,5,-1,1,4,2,4,-1,-1,-1,-1,-1,-1,1,4,2,4,1,3,1,3
